bar_ix,session,open,high,low,close
0,0,1.0,1.0029,0.9986,0.9999
1,0,0.9997,1.004,0.9991,1.0033
2,0,1.0034,1.004,1.0015,1.0028
3,0,1.0023,1.0059,1.0021,1.0056
4,0,1.0057,1.0067,1.0043,1.0048
5,0,1.005,1.0051,1.0006,1.0026
6,0,1.0028,1.0065,1.0028,1.0064
7,0,1.0059,1.0081,1.005,1.007
8,0,1.0071,1.0115,1.0071,1.0115
9,0,1.0117,1.0137,1.0109,1.0123
10,0,1.0127,1.0127,1.0101,1.0111
11,0,1.0111,1.0149,1.0111,1.0123
12,0,1.0126,1.0182,1.0125,1.0152
13,0,1.0149,1.0194,1.0149,1.0187
14,0,1.0182,1.0194,1.0148,1.0178
15,0,1.0178,1.0178,1.0151,1.0175
16,0,1.0178,1.0225,1.0173,1.022
17,0,1.0218,1.0271,1.0217,1.0267
18,0,1.0263,1.0273,1.0253,1.0262
19,0,1.0265,1.0294,1.0257,1.0287
20,0,1.0284,1.0297,1.0265,1.0297
21,0,1.0298,1.0322,1.0294,1.0319
22,0,1.0319,1.0335,1.0262,1.0279
23,0,1.0277,1.0299,1.0274,1.0298
24,0,1.0302,1.0337,1.0302,1.0328
25,0,1.0328,1.0335,1.0291,1.0309
26,0,1.0303,1.0303,1.0261,1.0268
27,0,1.0268,1.0269,1.0243,1.0243
28,0,1.0247,1.0274,1.0225,1.0247
29,0,1.0248,1.0264,1.0241,1.0246
30,0,1.025,1.0304,1.0249,1.0279
31,0,1.0282,1.0296,1.0242,1.0245
32,0,1.0242,1.0257,1.0226,1.0245
33,0,1.0242,1.0252,1.023,1.0235
34,0,1.023,1.0278,1.023,1.0278
35,0,1.0275,1.0289,1.0266,1.0287
36,0,1.0292,1.0313,1.0286,1.0298
37,0,1.0297,1.0329,1.029,1.0297
38,0,1.0297,1.0303,1.0213,1.0219
39,0,1.022,1.0279,1.022,1.0266
40,0,1.0267,1.0279,1.0252,1.0273
41,0,1.0273,1.0311,1.0267,1.0298
42,0,1.0298,1.0306,1.0281,1.029
43,0,1.0286,1.0286,1.0253,1.0271
44,0,1.0268,1.0303,1.0265,1.0301
45,0,1.0299,1.03,1.0264,1.0285
46,0,1.0278,1.0282,1.0249,1.0282
47,0,1.0286,1.0306,1.0249,1.0275
48,0,1.0277,1.031,1.0271,1.0299
49,0,1.0296,1.0335,1.0296,1.0316
0,1,1.0,1.0024,0.998,1.0011
1,1,1.0011,1.0011,0.9958,0.9961
2,1,0.9964,0.9993,0.9955,0.9975
3,1,0.998,0.9991,0.9952,0.9952
4,1,0.9951,0.9957,0.9897,0.99
5,1,0.99,0.99,0.9855,0.9855
6,1,0.985,0.9936,0.985,0.9936
7,1,0.9936,0.999,0.9932,0.9981
8,1,0.9982,1.0002,0.9972,0.9986
9,1,0.999,1.003,0.9982,1.0009
10,1,1.0006,1.0055,1.0001,1.0038
11,1,1.0036,1.008,1.0028,1.008
12,1,1.008,1.0099,1.0065,1.0086
13,1,1.009,1.0102,1.0061,1.0087
14,1,1.0087,1.0127,1.0077,1.0124
15,1,1.0123,1.019,1.0119,1.0183
16,1,1.0183,1.0206,1.0172,1.0186
17,1,1.0184,1.019,1.0125,1.0159
18,1,1.0163,1.019,1.0155,1.0176
19,1,1.0174,1.0196,1.0164,1.0191
20,1,1.0194,1.0204,1.0175,1.0202
21,1,1.0202,1.0236,1.0191,1.0227
22,1,1.0225,1.0298,1.0225,1.0293
23,1,1.0294,1.0302,1.0267,1.0288
24,1,1.0281,1.0308,1.0256,1.0308
25,1,1.0306,1.0374,1.03,1.0355
26,1,1.0355,1.0371,1.0331,1.0331
27,1,1.0334,1.0343,1.027,1.027
28,1,1.0271,1.0296,1.0266,1.0269
29,1,1.0266,1.0341,1.0263,1.0341
30,1,1.0342,1.0389,1.0342,1.0365
31,1,1.0366,1.0369,1.0305,1.0306
32,1,1.0311,1.0319,1.0292,1.0296
33,1,1.0293,1.0307,1.0276,1.0291
34,1,1.0293,1.0376,1.0282,1.0372
35,1,1.0372,1.0384,1.0336,1.0346
36,1,1.0347,1.0395,1.0344,1.0376
37,1,1.037,1.0379,1.0332,1.0372
38,1,1.0374,1.0425,1.0372,1.04
39,1,1.04,1.044,1.0383,1.0417
40,1,1.0418,1.0432,1.0397,1.0419
41,1,1.0416,1.0418,1.0385,1.0409
42,1,1.0404,1.0407,1.0381,1.0384
43,1,1.0387,1.0396,1.0348,1.0352
44,1,1.0354,1.0354,1.0326,1.0342
45,1,1.0336,1.034,1.0302,1.033
46,1,1.0332,1.0346,1.0317,1.0327
47,1,1.033,1.0342,1.0314,1.0333
48,1,1.0335,1.0335,1.0272,1.0308
49,1,1.0307,1.031,1.0275,1.0286
0,2,1.0,1.0005,0.9952,0.9957
1,2,0.9963,1.0024,0.9961,1.0023
2,2,1.0017,1.0102,1.0016,1.0097
3,2,1.0095,1.0095,1.0062,1.0062
4,2,1.0054,1.008,1.0052,1.0069
5,2,1.0068,1.0068,1.0008,1.0044
6,2,1.0043,1.008,1.0036,1.0058
7,2,1.0063,1.0093,1.0057,1.0091
8,2,1.009,1.0092,1.0022,1.0022
9,2,1.0024,1.0037,0.9992,0.9992
10,2,0.9994,1.0005,0.9969,0.9981
11,2,0.9976,1.0028,0.9975,1.0021
12,2,1.0018,1.0019,0.9979,0.9996
13,2,0.9995,1.0028,0.9985,0.9988
14,2,0.9986,1.0007,0.9965,1.0001
15,2,0.9999,1.0021,0.9983,1.0012
16,2,1.0007,1.0068,0.9985,1.0065
17,2,1.0065,1.0131,1.006,1.013
18,2,1.0132,1.0188,1.0131,1.0187
19,2,1.0182,1.0222,1.0175,1.0221
20,2,1.0225,1.0233,1.0209,1.0217
21,2,1.0215,1.0245,1.019,1.0238
22,2,1.0239,1.0239,1.014,1.014
23,2,1.0144,1.0146,1.0081,1.0083
24,2,1.009,1.0128,1.0073,1.0119
25,2,1.0118,1.0123,1.0098,1.0108
26,2,1.0103,1.0153,1.0101,1.013
27,2,1.0124,1.0146,1.0095,1.0136
28,2,1.0136,1.0136,1.006,1.007
29,2,1.0068,1.0091,1.0056,1.0079
30,2,1.0081,1.0135,1.0055,1.0126
31,2,1.0126,1.0132,1.0095,1.0101
32,2,1.01,1.0105,1.0058,1.0093
33,2,1.0095,1.0118,1.0064,1.0074
34,2,1.0072,1.0072,1.0035,1.0047
35,2,1.0046,1.005,0.9991,0.9991
36,2,0.9984,1.0021,0.9975,1.0016
37,2,1.0017,1.0037,0.9993,1.0008
38,2,1.0005,1.0079,0.9996,1.0079
39,2,1.0082,1.0137,1.0078,1.0137
40,2,1.0143,1.0163,1.013,1.0146
41,2,1.0143,1.0179,1.0141,1.0166
42,2,1.017,1.0244,1.0167,1.0196
43,2,1.0194,1.0211,1.0162,1.0166
44,2,1.016,1.0179,1.0136,1.0166
45,2,1.0162,1.0182,1.0097,1.0101
46,2,1.0096,1.0128,1.0087,1.0108
47,2,1.0106,1.0181,1.0097,1.0178
48,2,1.0172,1.0229,1.0165,1.0197
49,2,1.0199,1.0216,1.0192,1.0208
0,3,1.0,1.0008,0.9986,1.0008
1,3,1.0006,1.0025,1.0,1.0021
2,3,1.0017,1.002,1.0002,1.0016
3,3,1.0018,1.0051,1.0016,1.0044
4,3,1.0047,1.0048,1.0016,1.0024
5,3,1.0021,1.0025,1.0001,1.0001
6,3,1.0002,1.0015,0.9996,1.0015
7,3,1.0012,1.0012,0.9979,0.9995
8,3,0.9997,1.0013,0.999,1.0011
9,3,1.0011,1.0063,1.0011,1.0063
10,3,1.0065,1.0108,1.0055,1.0108
11,3,1.0108,1.0111,1.0089,1.0089
12,3,1.0087,1.0092,1.0067,1.0074
13,3,1.0074,1.0074,1.0039,1.0052
14,3,1.005,1.0059,1.0037,1.0059
15,3,1.0059,1.0096,1.0055,1.0093
16,3,1.0092,1.0104,1.0081,1.0082
17,3,1.0081,1.0082,1.0062,1.0079
18,3,1.0078,1.0098,1.0071,1.0093
19,3,1.0092,1.0104,1.008,1.008
20,3,1.0083,1.0117,1.0082,1.0103
21,3,1.0104,1.0108,1.0079,1.0085
22,3,1.0081,1.0087,1.0066,1.0073
23,3,1.0068,1.0074,1.0045,1.0056
24,3,1.0055,1.0057,1.0035,1.0042
25,3,1.0042,1.0045,1.0025,1.0045
26,3,1.0045,1.0066,1.004,1.0061
27,3,1.0066,1.0076,1.0041,1.0041
28,3,1.0039,1.0065,1.0032,1.0061
29,3,1.0058,1.0081,1.0058,1.008
30,3,1.008,1.0084,1.0035,1.0041
